,,SCF,MP2,CCSD,CCSD(T)
aug-cc-pCV5Z,N2,1.7137561884326462,1.699925615181404,1.7144971119636399,1.733390662574304
aug-cc-pCV5Z,NH3,1.919393347361531,2.106414801927099,2.038836399260069,2.078352322214578
aug-cc-pCV5Z,O2,1.6667075425035687,1.3790439716145648,1.55748306128074,1.5612494228777027
aug-cc-pCV5Z,PH3,4.421708303549248,4.505679640688558,4.438780417040197,4.468664333345976
aug-cc-pCV5Z,SH2,3.5320752135000206,3.622220913602344,3.5560626133972337,3.588261916603828
aug-cc-pCV5Z,SiH4,4.3931210027427,4.549641104170957,4.550382028316151,4.584279281635901
aug-cc-pCV5Z,SO-trip,3.4232211945252744,3.253395340150116,3.3908984039611476,3.4042041558551346
aug-cc-pCV5Z,SO2,3.499474578136305,3.813255704436068,3.7006970671921535,3.7624715690126393
aug-cc-pCV5Z,FCN,2.60147522558078,2.6656577287673158,2.643460893974949,2.6835016377163847
aug-cc-pCV5Z,HCHS,5.156395754574869,4.993176468914087,4.980796871850622,4.984470616525548
