,information,information,information,information,information,density maxMNAE,density maxMNAE,density maxMNAE,density meanMNAE,density meanMNAE,density meanMNAE,IP,IP,IP
,year,type,hybrid ex,hybrid corr,XYG3-type,RHO,GRD,LR,RHO,GRD,LR,RMSE,MAE,MaxE
functional,,,,,,,,,,,,,,
revPBE,1998,GGA,,,,2.103277722100091,2.074197860840308,2.369578080037467,0.9943790436060468,1.1026669944366483,1.2027285229642992,0.5336405996224813,0.48068454039144726,0.8164716838238633
PBE0,1999,GGA,hybrid,,,1.6783132476664744,1.7988716289726163,1.8160524193875875,0.8630091173824636,0.8500704801231063,0.8467717009712857,0.78771142166724,0.7256577258362084,1.1715411042986261
PKZB,1999,mGGA,,,,2.025001672056154,2.1664160879586816,1.9845964293613976,1.1365132095893593,1.0253975497233643,0.9776954261000554,1.0482720707287718,0.9528022064919881,1.589618938825481
RPBE,1999,GGA,,,,2.1398059873201576,2.152728435168681,2.4516296189122926,1.0139415655015047,1.1396342357365494,1.2387168339615513,0.31064790237754203,0.2570878988054197,0.5132126619111546
B3LYP*,2001,GGA,hybrid,,,2.445838191667036,1.7060961083808142,1.8236623353102608,0.963787951431079,0.958819410081834,0.9743530768498548,0.39862364570790404,0.31443103787953436,0.716610273131721
B97-2,2001,GGA,hybrid,,,1.9116411732388376,2.017746527393641,1.5962847036051906,0.8639835305627035,0.731312273143928,0.6130156445428607,1.1384098250596724,1.0694209652005047,1.6464995459970737
BOP,2001,GGA,,,,2.908701755406932,1.9462375058364896,2.4097128549294253,0.9654363852843166,1.1510676285640058,1.2944128611639794,0.6804419857188957,0.6557180799042884,0.9338993714021626
O3LYP,2001,GGA,hybrid,,,1.818096914246525,1.9465284145438893,1.6157467300110226,0.927797552390815,0.7919607207795487,0.6466978847261974,0.4263031022342257,0.3410479402675802,0.7479052294669373
OLYP,2001,GGA,,,,1.9017662392786283,2.1194102576838048,1.8539137217597297,1.0084640495274562,0.9116690922686628,0.7833082459307107,0.39966694495666205,0.3201635051302662,0.6911468950705739
OPBE,2001,GGA,,,,2.06719993565476,2.2349268394454307,1.7605606682754606,1.1102650581579996,0.8816202910532015,0.6717511511637727,0.8651004718827796,0.7933095530002632,1.2929703113370579
OPTX,2001,GGA,,,,1.9608673069412503,2.146837040344544,1.8205154695588024,1.1221773475648777,0.9053630998494641,0.7685797533140054,2.2583788803290195,2.2149993278296187,2.83025436513077
OPW91,2001,GGA,,,,2.04213248936748,2.236554202903315,1.7942048528652903,1.0949507377834722,0.8921638042847267,0.6987596044898833,0.7650940777234926,0.6965885234124028,1.1560290138789924
OPZ81,2001,GGA,,,,1.8960732032264365,2.308341113270929,2.044199189137318,1.0367595761867154,1.029573245953946,0.8846270316605142,0.8584808449932131,0.8558879193729444,0.9230673815349348
OVWN,2001,GGA,,,,1.894078806780533,2.3074021771536533,2.043057755026065,1.035516119978785,1.0289967664219948,0.8836702363536842,0.8691262494899779,0.8675167921391006,0.9200884720150668
OVWN1RPA,2001,GGA,,,,1.9213812145353053,2.316500621317572,2.05489803052185,1.0436393356315172,1.0399604001505665,0.8906211905119303,1.8878420974662995,1.8875856797837471,1.9249786945563017
τHCTH,2002,mGGA,,,,2.220002016470734,2.085429233581681,2.054957279647557,1.1025677227210113,0.9778525992610181,1.1362521764797295,1.2583007086095161,1.1145866667753108,1.990011146780887
τHCTHhyb,2002,mGGA,hybrid,,,1.859882264145048,1.8370647278171863,1.8824933455591883,0.9147985857476384,0.8741350838883749,1.0439063080472766,1.0013620688680644,0.9027341333100741,1.5517749373587435
TPSS,2003,mGGA,,,,1.948065475147916,2.042917706577722,1.6375345495929818,0.9407730009324444,0.7548486149037891,0.6218744422929311,0.7288492297347983,0.668806142203664,1.0898367834129772
TPSSh,2003,mGGA,hybrid,,,1.902901483917039,2.0454579716105714,1.6046955212151288,0.8975866946898764,0.7153996201334568,0.5754946524390352,0.7960240464459237,0.7324804634946472,1.1857890941398068
B97-K,2004,GGA,hybrid,,,1.585515698318778,2.281506440694428,2.842566060090617,0.8836810854687634,1.2512499123732632,1.4326333247676748,0.3549919900357042,0.34542884240323346,0.4647563982061911
BMK,2004,mGGA,hybrid,,,1.6973788261190572,1.9136030975863247,3.089676586956704,0.7890414718003981,1.1937390549077613,1.8031923098367162,1.4087391980260755,1.3573969149827658,1.9125429711165793
CAM-B3LYP,2004,GGA,range-separate,,,2.34288665099718,1.832122584315366,2.103398328751285,0.9633943922707848,0.9927723852478361,1.0652375304342765,0.4642943953866702,0.36831508720086364,0.8253476712882275
B97-3,2005,GGA,hybrid,,,1.6239211178172483,1.846970410406482,1.8797005277547325,0.754750649101485,0.8610631420293916,0.8771181987363441,1.073411548009915,1.008948325628386,1.553662908981778
M05,2005,mGGA,hybrid,,,1.728544027029674,2.744558992295729,5.766840149770148,1.0368323555095267,1.9216400172933867,3.6229368744817725,0.28311879518021466,0.2655512359894712,0.4073469194414088
M05-2X,2005,mGGA,hybrid,,,2.6772521024741214,2.318220035380669,3.739927422751551,0.999592546595004,1.3884743308765581,1.9652121104812126,0.3358190256162252,0.3193628660372217,0.4723361044480612
MOHLYP,2005,GGA,,,,2.2462350391962813,1.551799576018121,1.2314252611520562,1.1903769587011037,0.9386914539856722,0.5779928155141548,1.3952763557001038,1.2546230410608352,2.1712428098468877
mPWLYP1w,2005,GGA,,,,3.529047772173383,2.0831300441108085,2.4796266150625432,1.0731108333092825,1.2153725504526907,1.3458061718502972,0.14260909560462395,0.12459833972804546,0.21888036269579914
PBE1KCIS,2005,mGGA,hybrid,,,1.5723109202848613,1.7915988039404664,1.9541656968742995,0.8697570019505853,0.9308816127547255,0.9705377601133912,0.673445534339672,0.6293245459434592,0.9843396162052045
PBELYP1w,2005,GGA,,,,3.5460176254885565,1.9654556647439805,2.384832327756188,1.11529426845157,1.2116423709229014,1.2985790322738584,0.3003336401862074,0.2868719354487806,0.3802465237536339
TPSSLYP1w,2005,mGGA,,,,2.934510209047424,2.010567062611518,1.773179531949221,0.9219159667964203,0.8438512389237776,0.7226813259581304,0.17567055481063648,0.1520201398050247,0.27776132229087125
X3LYP,2005,GGA,hybrid,,,2.083415650583751,1.7013803724250192,1.884924767416321,0.9265694044395343,0.9290037600562907,0.9612621092359946,0.34927229974219903,0.2732183800489203,0.632703728810327
B2PLYP,2006,GGA,hybrid,hybrid,,1.408460918981321,1.5758308157177563,1.54152971310132,0.7215190747781486,0.684472486677261,0.6786478107446154,0.526469339949929,0.4714153716058114,0.8284653008090572
HSE06,2006,GGA,range-separate,,,1.6732344767172689,1.829284659229986,1.9835302367746648,0.8825381498551399,0.9102599614277576,0.9730330775323079,0.7953736568013544,0.734115404125299,1.179942971917626
M06,2006,mGGA,hybrid,,,1.837464045766286,2.2609264433480187,3.682377458678821,0.9614724302330132,1.3958744776069711,2.172590553067833,1.9505398782107137,1.8359435993644482,2.8193903844185115
M06-2X,2006,mGGA,hybrid,,,1.496395749946672,2.13937650837804,4.2137419063271295,0.806117010601685,1.4329484363374732,2.3045355498963405,0.24546460112582313,0.23284055740608287,0.3547548040042443
M06-HF,2006,mGGA,exact,,,5.891135590199334,4.477817959266236,5.136203511449249,1.2557747273557396,1.7007395621291053,2.910403850331862,1.557908514975131,1.49134641898918,2.1434705978065836
M06-L,2006,mGGA,,,,2.3557885212372747,2.3836169871405746,2.729815884428761,1.1751908796510318,1.1000854845079593,1.4522079639102485,2.6521439123170194,2.5305642280130933,3.6976646142298364
mPW2PLYP,2006,GGA,hybrid,hybrid,,1.4368116616888449,1.5920126465520898,1.5358062835387862,0.7307783651484236,0.6773752934450716,0.6611586876608894,0.45841866644264817,0.40016385820303313,0.7423402317384671
TPSSm,2007,mGGA,,,,1.9108425479904827,2.080104834468788,1.657059763884445,0.9522271469029684,0.7665697886232189,0.6230610961862351,0.7152271455358244,0.6530902385892409,1.0770047948043384
B2GP-PLYP,2008,GGA,hybrid,hybrid,,1.4423359559814957,1.570672463121996,1.4051870277172638,0.674580332714835,0.5958680400842953,0.5479290252376429,0.6171269277359366,0.56434071333488,0.9414912870780654
M08-HX,2008,mGGA,hybrid,,,2.6614672095090617,2.549586845180777,3.699659203625992,1.2855742988388745,1.8006755762089246,2.2946057936203963,0.5459308363032143,0.452875767989525,0.8972010564424409
M08-SO,2008,mGGA,hybrid,,,2.6699119968529383,2.8402767218732894,4.783832894786995,1.2959320454227279,2.114785572690388,3.155188256189178,0.2916008065682497,0.24511429770243845,0.4843302060926362
PBEsol,2008,GGA,,,,2.6336885756135646,2.179960426611553,1.8935372550171372,1.1888240061770432,1.1419332259836084,0.8159824792776809,1.6097110345285908,1.5045827538274519,2.3439436809859444
