,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
MN12-L,-24.362920191120374,-22.10791362796704,-14.688250168474346,-36.53486964527904,-32.504344492249906,-88.03252989187285,-75.68948950620016,-51.20373861688715,-44.90013473811668,-128.94642380937813,-110.19395991896847,-94.08314773188343,-68.36944642796631,-59.29516435121579
MN12-SX,-24.358653995947765,-22.08803969354916,-14.678188969894487,-36.54006029311396,-32.490199513726225,-88.09224558350641,-75.73353922015971,-51.22271563002086,-44.89905394050791,-128.94106065550397,-110.2799163863749,-94.15767896446039,-68.4066915783169,-59.31375166614021
MN15,-24.354505253095894,-22.061679229964625,-14.679367540740886,-36.53369296614178,-32.43638259966417,-88.07422505964118,-75.55761110878377,-51.21368190579312,-44.810424210452304,-128.95739232021867,-110.25477442332573,-93.93102761808606,-68.39388260879886,-59.184114639367465
MN15-L,-24.37389419419937,-22.114836533545045,-14.692569379815486,-36.56220205136273,-32.528869641810104,-88.1527331130337,-75.79648098677998,-51.25522273430819,-44.947802494626316,-128.93454951992177,-110.35629624070783,-94.22484230178475,-68.45226775460986,-59.370599659572456
MOHLYP,-24.231244946449916,-21.92790785487974,-14.590921867644415,-36.37323597783313,-32.27099632253534,-87.79825014860853,-75.29621237672322,-51.01527685779013,-44.613271415109786,-128.5197068619748,-109.93910913226827,-93.63711873824502,-68.15697878901679,-58.95496100902728
MS0,-24.346985206519285,-22.03902048319233,-14.673571306375422,-36.52454005209147,-32.41419676215926,-88.06465376801951,-75.53935330702038,-51.20381763504344,-44.78929055832132,-128.98125676412832,-110.24557325450084,-93.91435037101742,-68.38397426129096,-59.16433563169523
MS1,-24.346841581478895,-22.039664592565714,-14.673793002793948,-36.52404434514977,-32.41483966941075,-88.06316814988301,-75.53999628399744,-51.2029819791106,-44.78993311473443,-128.96188175332014,-110.24377556726645,-93.91499390939791,-68.38280899652108,-59.164978257691516
MS2,-24.351415529532666,-22.040024304288078,-14.67665341269692,-36.530336705090434,-32.4151985707826,-88.07465986575131,-75.54035548749984,-51.21101735246228,-44.79029184901623,-128.96945820857206,-110.25712274029355,-93.9153536389235,-68.39260360956948,-59.165337132695164
MVS,-24.316650520508684,22.49744649126424,-14.653560940682153,-36.48414312579448,614.8545738196092,-87.99494952037895,7.999925630204247,-51.15349209300769,733.8474301138964,-128.92066728890768,-110.16475277372578,946.8285963730217,-68.32345509117786,328.9090812367267
N12,-24.384512712341287,-22.10621429397692,-14.712966493458381,-36.545673407033874,-32.494804091998134,-87.97259151417246,-75.67522553955504,-51.19643445191975,-44.88503048983064,-128.9517578684521,-110.10094549472447,-94.07612810134074,-68.33821164586851,-59.27825585958004
N12-SX,-24.34785272404095,-22.07206974016293,-14.678482663567221,-36.50922694245138,-32.455857455089905,-87.957832427804,-75.58942195416047,-51.16374806324514,-44.83657907837769,-128.9708799137286,-110.09933932298807,-93.9620875631763,-68.31290105338151,-59.214320436160634
O3LYP,-24.340175925670742,-22.021016526055302,-14.668217187982219,-36.514266703834394,-32.388900151728734,-88.03765554220857,-75.49065466813164,-51.18878615429265,-44.756389187654236,-128.94871440580494,-110.21185211709663,-93.85755503176728,-68.36329378756278,-59.12361413697983
OLYP,-24.343254193758398,-22.025406590039438,-14.667632607130066,-36.52138356282227,-32.396717144594554,-88.05845214007556,-75.51011293235418,-51.20024002050512,-44.76789879395463,-128.9563838413165,-110.2375783836282,-93.88119546798197,-68.37932303775457,-59.13901854005167
OP,-24.337134454789023,-22.040433486531942,-14.664424919269173,-36.513738877769526,-32.41695097146998,-88.05000953892836,-75.5452111792213,-51.1918903885517,-44.79320472027821,-128.91173204837543,-110.22944848433339,-93.92104305906892,-68.37077424437602,-59.16927440622144
OP86,-24.338042895705875,-22.028202855614698,-14.666295857689498,-36.51529045604334,-32.40468280834661,-88.06056394446986,-75.53659630649051,-51.195413247239244,-44.78171933651076,-128.95931426453166,-110.24461923317858,-93.91417977842057,-68.37736472349843,-59.15907397328089
OPBE,-24.329127514029,-22.02183872908183,-14.658730759348616,-36.503576945011105,-32.39332753978794,-88.03473013118764,-75.50728590862052,-51.17981617829329,-44.76470642608016,-128.9213851916459,-110.21279192337562,-93.87852561034659,-68.35700422600239,-59.13601682055533
OPTX,-24.236630122610478,-21.975358696579224,-14.572922650309934,-36.407002872136694,-32.34636400505523,-87.93170890806346,-75.4596152520675,-51.080448013752,-44.7174218658484,-128.57327717603474,-110.10850639770199,-93.83073423164134,-68.25557509207658,-59.08850828513707
OPW91,-24.339921529280407,-22.03067974824967,-14.667425305585613,-36.516269733939936,-32.40337602805417,-88.05217388111916,-75.5202420284359,-51.19423344486986,-44.775825712303295,-128.9526467861602,-110.2315820542534,-93.89228324136494,-68.37299712832535,-59.14809853628854
OPZ81,-24.488687927248595,-22.137307783053018,-14.797075111512799,-36.68083376514921,-32.518639808630965,-88.25252977429258,-75.65527577547209,-51.37225436028416,-44.89852434807354,-129.31155722499992,-110.44150059028217,-94.03255471064737,-68.56280433876898,-59.277321111260925
OVWN,-24.48985412367771,-22.13887541046413,-14.798087726887626,-36.6822452916184,-32.52016080800583,-88.25469578966161,-75.65648968430956,-51.37397270084758,-44.89995620536247,-129.31781514725347,-110.44377755948852,-94.03365633919553,-68.56479138217085,-59.27864706208843
OVWN1RPA,-24.566278098835447,-22.180338366490954,-14.871494998568217,-36.76067493973686,-32.56222500258308,-88.3367088658878,-75.69972728808112,-51.45388257990361,-44.942491462492974,-129.51928583057128,-110.52658074741085,-94.07716619354957,-68.64586058869922,-59.32156512807688
P86,-24.339120643598214,-22.039519133339912,-14.666812280697767,-36.51672293846012,-32.4198647082694,-88.06260180859275,-75.56327379396443,-51.197110032364414,-44.80074211748746,-128.93638844998387,-110.24675854866645,-93.94467846132946,-68.37926731764014,-59.18192682614707
