,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
HSE06,-24.3049632749281,-21.99778385237454,-14.638864494279753,-36.47513946526902,-32.36396236583224,-87.99275347845253,-75.4619676590055,-51.1469665351882,-44.730026173805,-128.88285543014152,-110.16617237029641,-93.82789006843575,-68.31961668557912,-59.09600967753293
LYP,-24.34425202591094,-22.035964646581743,-14.667794105191241,-36.522867913068396,-32.41122962660199,-88.06054656765036,-75.53630863673975,-51.202018469431685,-44.786327487630565,-128.93038327240933,-110.23975518950633,-93.91124969232544,-68.38129244122399,-59.16133790742889
M05,-24.339435826678297,-22.02686517444382,-14.663043412676284,-36.52002576261904,-32.39896368269982,-88.06734708812124,-75.5130650697689,-51.20204490192087,-44.77062967494235,-128.9611284651916,-110.25013698106382,-93.88393792737506,-68.38458532164266,-59.14198061979352
M05-2X,-24.352438822888754,-22.040869973648483,-14.672003524738802,-36.53679078792875,-32.41686588852595,-88.0954911408042,-75.5429883024829,-51.22254468757679,-44.7924939382374,-128.96940850617722,-110.28214772989756,-93.91796373046488,-68.40890197668188,-59.1678475846782
M06,-24.333049265649933,-22.04822789202043,-14.661370354103624,-36.50790339195742,-32.42567796650041,-88.0347915139537,-75.55555197199332,-51.18362110682201,-44.8026327491202,-128.95140630247909,-110.20986102824735,-93.93162680834054,-68.35936930200312,-59.17923373137752
M06-2X,-24.346444692722756,-22.033552563389527,-14.666495110584977,-36.5298249684789,-32.407612773506564,-88.08373922405335,-75.52728906055303,-51.214235478798116,-44.78117191506542,-128.9406075036952,-110.26842164510111,-93.89999618669503,-68.39896677234006,-59.15436086905426
M06-HF,-24.369829251929424,-22.022259600040524,-14.68280642998246,-36.560028106663395,-32.39208392775865,-88.13339805986476,-75.49804123855476,-51.25099420306125,-44.761210999160284,-128.95502412406213,-110.32458371468906,-93.86601040236636,-68.44213530834602,-59.12981408410081
M06-L,-24.337453596715722,-22.0707963062695,-14.663291362638521,-36.51566401714273,-32.45514692349042,-88.05576496667169,-75.60648434599739,-51.19536399485252,-44.83914990044679,-128.95902748821555,-110.23576399719258,-93.9898789585547,-68.3756071484738,-59.2228986569197
M06-SX,-24.32926022976973,-22.062452420960163,-14.645496283138103,-36.51664421146832,-32.4479117805884,-88.08221815268801,-75.60132278419248,-51.20500363130527,-44.83277953709428,-128.94263612498892,-110.27064667324032,-93.98515387275341,-68.39364287723866,-59.21721600842749
M08-HX,-24.354722320551677,-22.036413763822573,-14.682942956491203,-36.53028114126331,-32.40841940270325,-88.0631551722941,-75.52205458221613,-51.20730702291192,-44.77994481435831,-128.9400822504821,-110.2415501967794,-93.89280558228452,-68.38503273791143,-59.15112016931715
M08-SO,-24.339549175000254,-22.0189611691858,-14.669130009605594,-36.51550015651442,-32.389172271591,-88.05447575441679,-75.50100529751968,-51.19387939063275,-44.75958024945519,-128.93119179254572,-110.2359587985151,-93.87196820740766,-68.37367374989944,-59.130176524211734
M11,-24.336432599922283,-22.028689814407194,-14.661887296576154,-36.51652009991749,-32.40451373817393,-88.07030669715486,-75.53023274940756,-51.19959584203703,-44.78004906306753,-128.97292659735436,-110.25693271705076,-93.90494752736757,-68.38441371526989,-59.15527948101184
M11-L,-24.37500605106402,-22.10074881764725,-14.695400876599788,-36.554277650713054,-32.49666374607144,-88.10003751389576,-75.68753578277743,-51.2359440429933,-44.89307130060864,-128.94429218919973,-110.28185266304033,-94.08530199421064,-68.41786551461124,-59.28988816936762
MN12-L,-24.35703066247333,-22.104361857571014,-14.682418686917956,-36.52915036067607,-32.49980980642911,-88.02509698033583,-75.68219518738768,-51.1973682180311,-44.89458198272789,-128.93093616774865,-110.18624158476432,-94.07505622394473,-68.36243374581713,-59.28870063372786
MN12-SX,-24.348785155473507,-22.081248123754737,-14.669158545401338,-36.52932364160973,-32.48162174143311,-88.07718267269006,-75.72104850702182,-51.2104793776107,-44.888915648053356,-128.9265356066229,-110.26375764674283,-94.14428083960505,-68.39296233807356,-59.302347307414436
MN15,-24.33054860361544,-22.040458767715627,-14.664242538267672,-36.50152174908732,-32.408427764288845,-88.02133401329371,-75.51329860618597,-51.1738506674416,-44.776355571945984,-128.90493263007977,-110.19636663150048,-93.88249008158286,-68.34704013278437,-59.14455946608101
MN15-L,-24.351412413525516,-22.09550256658291,-14.678275988632887,-36.53279647907277,-32.50392314410893,-88.10685165002569,-75.7583436910807,-51.21964012158412,-44.917865365282765,-128.8934571722517,-110.30617294346705,-94.18338078975373,-68.41118685044351,-59.33626442732856
MOHLYP,-24.231106097844584,-21.927891563670062,-14.590643518658196,-36.373116351986404,-32.270975368356204,-87.79781897281259,-75.29618113959008,-51.01508684023884,-44.61324668416419,-128.51946324048743,-109.93854926119774,-93.63708379110274,-68.15665794014713,-58.9549328257928
MS0,-24.34685479669367,-22.03899436569384,-14.673454107652848,-36.52438977509046,-32.41417105435817,-88.0644106679192,-75.53934205324985,-51.20364824107016,-44.78926847541816,-128.98071121789994,-110.2452871436708,-93.91434370832096,-68.38376870617739,-59.164318944330724
MS1,-24.34671677503768,-22.039633647710506,-14.673670767059123,-36.523907987347805,-32.41480862231714,-88.06292805306018,-75.53998149150773,-51.202825606335225,-44.789905747830474,-128.96136331511119,-110.24348662618759,-93.91498517810422,-68.38261200794872,-59.1649568618582
MS2,-24.35131573575523,-22.039992396074425,-14.676552422067164,-36.53024229399528,-32.41516622009716,-88.07448260449365,-75.54033959111325,-51.21091415302814,-44.79026301659,-128.96900287280212,-110.25689736190263,-93.91534426088552,-68.39246868908066,-59.16531428533618
MVS,-24.316466793310305,1.2485699316867902,-14.653387264426515,-36.48393359291296,2.999423647432921,-87.99431656779733,-1.9060989211160875,-51.153090623517755,5.480273927201876,-128.91951504065966,-110.16400969262985,-1.7589701252874534,-68.32286767639248,15.076841660444462
N12,-24.38313124282238,-22.104941827798406,-14.712271742751817,-36.542901350184344,-32.4923279013794,-87.96375222270211,-75.66705385477715,-51.191839420168705,-44.880924264484214,-128.95141185452513,-110.08984892905175,-94.06566224509936,-68.33151458302912,-59.272184486831264
N12-SX,-24.34569268081122,-22.069883539894036,-14.677152797190391,-36.50631099756239,-32.452627875011295,-87.95329880181211,-75.58310497442591,-51.16021209633943,-44.83229618111374,-128.96526004762234,-110.09438519374865,-93.95479839518678,-68.3088401876521,-59.20904129927471
O3LYP,-24.34007255542017,-22.02099318224173,-14.668011715462844,-36.51417465874828,-32.3888738916134,-88.03729195475958,-75.4906133537664,-51.188633137007585,-44.756359252330405,-128.94851336300775,-110.21137325041592,-93.85750535871621,-68.36302864237715,-59.12357911989379
